,Var1,participant_n,trial_n,ImageLeft,ImageRight,RewardLeft,RewardRight,MaxReward,MinReward,TotalReward,MaxPerformance,MinPerformance,responseKey,RT,response,PCorrectChoice,leftChoice,rightChoice,CumSum,CumPCorrect,SimChoice,SimReward,RandomPerformance,PCorrectChoiceSim,CumSum_sim,CumPCorrect_sim,loadings_left1,loadings_left2,loadings_left3,loadings_left4,loadings_left5,loadings_left6,loadings_left7,loadings_left8,loadings_left9,loadings_left10,loadings_left11,loadings_left12,loadings_left13,loadings_left14,loadings_right1,loadings_right2,loadings_right3,loadings_right4,loadings_right5,loadings_right6,loadings_right7,loadings_right8,loadings_right9,loadings_right10,loadings_right11,loadings_right12,loadings_right13,loadings_right14
21,21,participant_01,22,stimuli/prism.png,stimuli/handbrake.png,37,60,60,37,933,1223,472,right,1466,correct,1,0,1,13,0.590909090909091,1,60,839,1,9,0.409090909090909,0.925636410713196,0.00458937184885144,0.0857278183102608,0.0514213852584362,0.259713441133499,0.425423353910446,0.481470346450806,0.00930931232869625,0.281978338956833,0.173132210969925,0.454964935779572,0.120944254100323,0.430356413125992,0.0999493971467018,1.63254880905151,0.0345242358744144,0.0143225146457553,0.368143975734711,0.0770161524415016,0.0116341961547732,5.46698465768713E-05,1.02450323104858,0.0431975312530994,0.547297596931458,0.0133875608444214,0.132990449666977,0.0227411612868309,0.0295997392386198
22,22,participant_01,23,stimuli/bathrobe.png,stimuli/centrifuge.png,10,70,70,10,1003,1293,482,right,1048,correct,1,0,1,14,0.608695652173913,1,70,909,1,10,0.434782608695652,0.163160160183907,0.185348749160767,0.0341556780040264,1.80917465686798,1.10117387771606,0.101661048829556,0.0550354234874249,0.0569864772260189,0.463324427604675,0.0676319971680641,0.0118984347209334,0.838623344898224,0.354803383350372,0.0157684907317162,1.32814621925354,0.0932257771492004,0.00129448506049812,0.03353026881814,0.0560720078647137,0.0400400906801224,0.00428433250635862,0.295270681381226,0.508801519870758,1.36393880844116,0.0133724203333259,0.590788781642914,0.0542801171541214,0.0155547428876162
23,23,participant_01,24,stimuli/scalpel.png,stimuli/bulletin_board.png,59,15,59,15,1062,1352,497,left,1301,correct,1,1,0,15,0.625,0,59,968,1,11,0.458333333333333,1.66681277751923,0.0664738938212395,0.0385091565549374,0.444969803094864,0.0208073873072863,0.193884894251823,0.00236092903651297,0.0326169580221176,0.0544599741697311,0.0121162179857492,0.00724984239786863,0.0943821743130684,0.00714139826595783,0.0279644839465618,0.330161899328232,0.0252647176384926,0.00192010682076216,0.0177245587110519,0.756845355033875,1.24146854877472,0.0167759265750647,0.02896973118186,0.00692566344514489,0.897392749786377,0.0864210650324822,0.00849000457674265,0.0098395086824894,0.0206507053226233
24,24,participant_01,25,stimuli/gear.png,stimuli/hip.png,83,10,83,10,1145,1435,507,left,941,correct,1,1,0,16,0.64,1,10,978,0,11,0.44,1.57616400718689,0.0471805296838284,0.00691937142983079,0.0178908370435238,0.0182761177420616,0.0737860649824142,0.0420110858976841,0.51135790348053,0.713525176048279,0.498136222362518,0.015122476965189,0.0124721964821219,0.0407588966190815,0.0181625429540873,0.0193558037281036,0.305944383144379,0.397550642490387,1.88398730754852,0.0876945108175278,0.0244132988154888,0.00902055483311415,0.123788125813007,0.0174716487526894,0.0205386094748974,0.00355470995418727,0.0543518587946892,0.0362647324800491,0.000840149354189634
25,25,participant_01,26,stimuli/rosary.png,stimuli/stilt.png,30,20,30,20,1175,1465,527,left,1250,correct,1,1,0,17,0.653846153846154,0,30,1008,1,12,0.461538461538462,0.852614164352417,0.0233611334115267,0.0120831234380603,0.727103710174561,0.105586268007755,0.559551537036896,0.211610674858093,0.0073129627853632,0.945049464702606,0.0317636393010616,0.362286776304245,0.009363385848701,0.00817008968442678,0.00682436442002654,0.63702803850174,0.00595563184469938,0.699968099594116,1.10782873630524,0.00334970280528069,0.0115370834246278,0.0875766426324844,0.795649766921997,0.00628461502492428,0.00462195603176951,1.06851851940155,0.00955597404390574,0.00463461317121983,0.0133621077984571
26,26,participant_01,27,stimuli/laser_pointer.png,stimuli/doorhandle.png,65,91,91,65,1240,1556,592,left,1540,incorrect,0,1,0,17,0.62962962962963,1,91,1099,1,13,0.481481481481481,1.70520663261414,0.000540455803275108,0.0161778479814529,0.0411399006843567,0.0101343747228384,0.412675499916077,0.0355386696755886,0.0358356311917305,0.0128945615142584,0.423828840255737,0.0231250002980232,0.0231147464364767,0.0666156262159348,0.0182389635592699,1.93278527259827,0.0670520439743996,0.00982532184571028,0.00657465262338519,0.477495700120926,0.00744247948750854,0.00243475963361561,0.0790315493941307,0.136025846004486,0.0243109837174416,0.00537536852061749,0.502167582511902,0.0108042238280177,0.0195598620921373
27,27,participant_01,28,stimuli/earring.png,stimuli/wine_bottle.png,58,42,58,42,1298,1614,634,left,1168,correct,1,1,0,18,0.642857142857143,1,42,1141,0,13,0.464285714285714,1.19554901123047,0.0884784311056137,0.00378694012761116,0.874677836894989,0.0422830879688263,0.682745516300201,0.0337385758757591,0.0440651290118694,0.537721931934357,0.0311068166047335,0.0121491719037294,0.0385225117206573,0.0368771404027939,0.012427638284862,1.06750535964966,0.955191612243652,0.00838770717382431,0.0957473739981651,0.407359302043915,0.390214473009109,0.125211253762245,0.0781102478504181,0.620246231555939,0.021018186584115,0.0441512502729893,0.101765096187592,0.151383146643639,1.63747024536133
28,28,participant_01,29,stimuli/fast_food.png,stimuli/switch.png,2,62,62,2,1360,1676,636,right,790,correct,1,0,1,19,0.655172413793103,0,2,1143,0,13,0.448275862068966,0.0341239757835865,1.98935747146606,0.156323552131653,0.0266963224858046,0.0104434350505471,0.0367306098341942,0.0202556829899549,0.0419221892952919,0.0248472783714533,0.0241890624165535,0.0360200107097626,0.0130722289904952,0.0369593687355518,0.0114135639742017,1.36134684085846,0.0330299846827984,0.00325562665238976,0.0144332610070705,0.0720632821321487,0.671268343925476,0.0301470309495926,0.214760735630989,0.0102457944303751,0.950616776943207,0.0335247665643692,0.0341815389692783,0.026964632794261,0.0488643757998943
29,29,participant_01,30,stimuli/hairdryer.png,stimuli/paperweight.png,52,48,52,48,1408,1728,684,right,1402,incorrect,0,0,1,19,0.633333333333333,1,48,1191,0,13,0.433333333333333,1.36003232002258,0.162067294120789,0.17245315015316,0.663590013980866,0.0819467827677727,0.577460706233978,0.0207625180482864,0.242017284035683,0.00626137619838119,0.400999635457993,0.014659239910543,0.911629259586334,0.0222298037260771,0.0128122540190816,0.887966513633728,0.176969200372696,0.00251941755414009,0.125470668077469,0.937956154346466,0.136939391493797,0.00331427855417132,0.00345304142683744,0.389722913503647,0.510347008705139,0.00441802572458983,0.131680995225906,0.0116183487698436,0.166692808270454
30,30,participant_01,31,stimuli/tab.png,stimuli/exerciser.png,84,54,84,54,1462,1812,738,right,1372,incorrect,0,0,1,19,0.612903225806452,1,54,1245,0,13,0.419354838709677,1.64466512203217,0.47127166390419,0.00803231354802847,0.0104091754183173,0.0462843254208565,0.390091598033905,0.0718799903988838,0.0271920021623373,0.360831171274185,0.309733986854553,0.0777064636349678,0.0207406431436539,0.00658149085938931,0.0207993723452091,1.34911572933197,0.0794197767972946,0.127780020236969,1.02212059497833,0.00721819745376706,0.0803862810134888,0.0351352207362652,0.771992623806,0.0181459728628397,0.318887799978256,0.00363602465949953,0.071443222463131,0.0425742007791996,0.00742428516969085
31,31,participant_01,32,stimuli/water_filter.png,stimuli/lab_coat.png,58,26,58,26,1520,1870,764,left,1138,correct,1,1,0,20,0.625,1,26,1271,0,13,0.40625,1.39995241165161,0.681622803211212,0.035244096070528,0.0974346399307251,0.201638400554657,0.0120031274855137,0.094446025788784,0.199878498911858,0.0487540178000927,0.557681679725647,0.0188173726201057,1.17757070064545,0.694092750549316,0.637208461761475,0.54915314912796,0.0977071672677994,0.00346570205874741,1.34052979946136,1.05801236629486,0.266776174306869,0.0211297068744898,0.192643851041794,0.00460047135129571,0.0882243141531944,0.00280097010545433,0.276262491941452,0.0258699916303158,0.0278900917619467
32,32,participant_01,33,stimuli/swimsuit.png,stimuli/rust.png,16,38,38,16,1558,1908,780,right,1631,correct,1,0,1,21,0.636363636363636,1,38,1309,1,14,0.424242424242424,0.234787493944168,0.0162547938525677,0.00150803907308728,1.5158451795578,0.406228393316269,0.929753065109253,0.190464437007904,0.189243674278259,0.000866233254782856,0.0210981741547585,0.00455529009923339,0.00931524392217398,0.759334862232208,0.00838182866573334,0.854199290275574,0.0870045274496079,0.0012945068301633,0.00599445588886738,0.291740357875824,0.00160440662875772,0.097468227148056,0.387980937957764,0.227464869618416,0.0477540269494057,0.655767261981964,0.0270174965262413,0.00914804078638554,0.00922469608485699
33,33,participant_01,34,stimuli/turnstile.png,stimuli/camcorder.png,84,56,84,56,1642,1992,836,left,1609,correct,1,1,0,22,0.647058823529412,1,56,1365,0,14,0.411764705882353,1.71871864795685,0.0120389880612493,0.00777054019272327,0.00110867293551564,0.472896814346314,0.00964359007775784,0.00864631496369839,0.658526718616486,0.0330168940126896,0.459548592567444,0.00938337575644255,0.00261609558947384,0.025753928348422,0.0158348400145769,1.13133251667023,0.00252482644282281,0.179011538624764,0.543101668357849,0.00617901561781764,0.0227486956864595,0.0068183783441782,0.32832407951355,0.120513416826725,1.72938311100006,0.0115552181378007,0.00544474832713604,0.0566496662795544,0.0328252017498016
34,34,participant_01,35,stimuli/pitchfork.png,stimuli/chain.png,62,81,81,62,1723,2073,898,right,1173,correct,1,0,1,23,0.657142857142857,0,62,1427,0,14,0.4,1.73600208759308,0.20341320335865,0.313329577445984,0.0204489137977362,0.0543642602860928,0.0287546887993813,0.943897724151611,0.369199395179749,0.0156290605664253,0.00242082518525422,0.465876370668411,0.0169909596443176,0.0152633115649223,0.00453484058380127,1.80669260025024,0.0119729591533542,0.0130970720201731,0.141353577375412,0.0252794809639454,0.111559748649597,0.0364517159759998,0.245313987135887,0.0559351667761803,0.0507724471390247,0.112391598522663,0.00979430321604013,0.106874622404575,0.00991232506930828
